Ticker,sector,industry,country,employees
PYPL,Financial Services,Credit Services,United States,24400
QCOM,Technology,Semiconductors,United States,49000
RCL,Consumer Cyclical,Travel Services,United States,105950
REG,Real Estate,REIT - Retail,United States,495
REGN,Healthcare,Biotechnology,United States,15182
RF,Financial Services,Banks - Regional,United States,19644
RJF,Financial Services,Asset Management,United States,19000
RL,Consumer Cyclical,Apparel Manufacturing,United States,15000
RMD,Healthcare,Medical Instruments & Supplies,United States,10600
ROK,Industrials,Specialty Industrial Machinery,United States,27000
ROL,Consumer Cyclical,Personal Services,United States,20000
ROP,Technology,Software - Application,United States,18200
ROST,Consumer Cyclical,Apparel Retail,United States,107000
RSG,Industrials,Waste Management,United States,42000
RTX,Industrials,Aerospace & Defense,United States,186000
RVTY,Healthcare,Diagnostics & Research,United States,11000
SBAC,Real Estate,REIT - Specialty,United States,1720
SBUX,Consumer Cyclical,Restaurants,United States,361000
SCHW,Financial Services,Capital Markets,United States,32600
SHW,Basic Materials,Specialty Chemicals,United States,63890
SJM,Consumer Defensive,Packaged Foods,United States,8000
SLB,Energy,Oil & Gas Equipment & Services,United States,110000
SMCI,Technology,Computer Hardware,United States,6238
SNA,Industrials,Tools & Accessories,United States,13000
SNPS,Technology,Software - Infrastructure,United States,20000
SO,Utilities,Utilities - Regulated Electric,United States,28314
SOLV,Healthcare,Medical Instruments & Supplies,United States,22000
SPG,Real Estate,REIT - Retail,United States,2600
SPGI,Financial Services,Financial Data & Stock Exchanges,United States,42350
SRE,Utilities,Utilities - Diversified,United States,16773
STE,Healthcare,Medical Devices,United States,17787
STLD,Basic Materials,Steel,United States,13000
STT,Financial Services,Asset Management,United States,52014
STX,Technology,Computer Hardware,Singapore,30000
STZ,Consumer Defensive,Beverages - Brewers,United States,10600
SWK,Industrials,Tools & Accessories,United States,48000
SWKS,Technology,Semiconductors,United States,10100
SYF,Financial Services,Credit Services,United States,20000
SYK,Healthcare,Medical Devices,United States,53000
SYY,Consumer Defensive,Food Distribution,United States,75000
T,Communication Services,Telecom Services,United States,137550
TAP,Consumer Defensive,Beverages - Brewers,United States,16800
TDG,Industrials,Aerospace & Defense,United States,16600
TDY,Technology,Scientific & Technical Instruments,United States,14900
TECH,Healthcare,Biotechnology,United States,3100
TEL,Technology,Electronic Components,Ireland,85000
TER,Technology,Semiconductor Equipment & Materials,United States,6500
TFC,Financial Services,Banks - Regional,United States,37996
TGT,Consumer Defensive,Discount Stores,United States,440000
TJX,Consumer Cyclical,Apparel Retail,United States,364000
TKO,Communication Services,Entertainment,United States,
TMO,Healthcare,Diagnostics & Research,United States,125000
TMUS,Communication Services,Telecom Services,United States,70000
TPL,Energy,Oil & Gas E&P,United States,111
TPR,Consumer Cyclical,Luxury Goods,United States,12500
TRGP,Energy,Oil & Gas Midstream,United States,3370
TRMB,Technology,Scientific & Technical Instruments,United States,12100
TROW,Financial Services,Asset Management,United States,8063
TRV,Financial Services,Insurance - Property & Casualty,United States,34000
TSCO,Consumer Cyclical,Specialty Retail,United States,52000
TSLA,Consumer Cyclical,Auto Manufacturers,United States,125665
TSN,Consumer Defensive,Farm Products,United States,138000
TT,Industrials,Building Products & Equipment,Ireland,45000
TTD,Communication Services,Advertising Agencies,United States,3522
TTWO,Communication Services,Electronic Gaming & Multimedia,United States,12928
TXN,Technology,Semiconductors,United States,34000
TXT,Industrials,Aerospace & Defense,United States,34000
TYL,Technology,Software - Application,United States,7542
UAL,Industrials,Airlines,United States,111300
UBER,Technology,Software - Application,United States,32700
UDR,Real Estate,REIT - Residential,United States,1419
UHS,Healthcare,Medical Care Facilities,United States,99300
ULTA,Consumer Cyclical,Specialty Retail,United States,20000
UNH,Healthcare,Healthcare Plans,United States,400000
UNP,Industrials,Railroads,United States,29929
UPS,Industrials,Integrated Freight & Logistics,United States,490000
URI,Industrials,Rental & Leasing Services,United States,27900
USB,Financial Services,Banks - Regional,United States,70000
V,Financial Services,Credit Services,United States,
VICI,Real Estate,REIT - Diversified,United States,27
VLO,Energy,Oil & Gas Refining & Marketing,United States,9898
VLTO,Industrials,Pollution & Treatment Controls,United States,17000
VMC,Basic Materials,Building Materials,United States,11971
VRSK,Industrials,Consulting Services,United States,7800
VRSN,Technology,Software - Infrastructure,United States,929
VRTX,Healthcare,Biotechnology,United States,6100
VTR,Real Estate,REIT - Healthcare Facilities,United States,498
VTRS,Healthcare,Drug Manufacturers - Specialty & Generic,United States,32000
VZ,Communication Services,Telecom Services,United States,100000
WAB,Industrials,Railroads,United States,29500
WAT,Healthcare,Diagnostics & Research,United States,7600
WBA,Healthcare,Pharmaceutical Retailers,United States,193000
WBD,Communication Services,Entertainment,United States,35000
WDAY,Technology,Software - Application,United States,19517
WDC,Technology,Computer Hardware,United States,40000
WEC,Utilities,Utilities - Regulated Electric,United States,7000
WELL,Real Estate,REIT - Healthcare Facilities,United States,685
WFC,Financial Services,Banks - Diversified,United States,212804
WM,Industrials,Waste Management,United States,61700
WMB,Energy,Oil & Gas Midstream,United States,5829
WMT,Consumer Defensive,Discount Stores,United States,2100000
WRB,Financial Services,Insurance - Property & Casualty,United States,8606
WRK,,,,
WSM,Consumer Cyclical,Specialty Retail,United States,19600
WST,Healthcare,Medical Instruments & Supplies,United States,10600
WTW,Financial Services,Insurance Brokers,United Kingdom,49000
WY,Real Estate,REIT - Specialty,United States,9440
WYNN,Consumer Cyclical,Resorts & Casinos,United States,28000
XEL,Utilities,Utilities - Regulated Electric,United States,11380
XOM,Energy,Oil & Gas Integrated,United States,61000
XYL,Industrials,Specialty Industrial Machinery,United States,23000
XYZ,Technology,Software - Infrastructure,United States,12000
YUM,Consumer Cyclical,Restaurants,United States,40000
ZBH,Healthcare,Medical Devices,United States,17000
ZBRA,Technology,Communication Equipment,United States,9900
ZTS,Healthcare,Drug Manufacturers - Specialty & Generic,United States,13800
